year,month,month-19,month-17,month-15,month-13,month-11,month-9,month-7,month-5,month-3,month-1,actual
2012,1,99.4,100.6,100.7,100.5,101.2,100.1,100.3,100.3,100.1,100.3,101.5
2012,2,100.4,100.6,101.1,101,99.8,100.1,100.5,100.5,99.8,101.5,99.9
2012,3,100.6,100.7,100.5,101.2,100.1,100.3,100.3,100.1,100.3,99.9,100.2
2012,4,100.6,101.1,101,99.8,100.1,100.5,100.5,99.8,101.5,100.2,99.9
2012,5,100.7,100.5,101.2,100.1,100.3,100.3,100.1,100.3,99.9,99.9,99.7
2012,6,101.1,101,99.8,100.1,100.5,100.5,99.8,101.5,100.2,99.7,99.4
2012,7,100.5,101.2,100.1,100.3,100.3,100.1,100.3,99.9,99.9,99.4,100.1
2012,8,101,99.8,100.1,100.5,100.5,99.8,101.5,100.2,99.7,100.1,100.6
2012,9,101.2,100.1,100.3,100.3,100.1,100.3,99.9,99.9,99.4,100.6,100.3
2012,10,99.8,100.1,100.5,100.5,99.8,101.5,100.2,99.7,100.1,100.3,99.9
2012,11,100.1,100.3,100.3,100.1,100.3,99.9,99.9,99.4,100.6,99.9,100.1
2012,12,100.1,100.5,100.5,99.8,101.5,100.2,99.7,100.1,100.3,100.1,100.8
2013,1,100.3,100.3,100.1,100.3,99.9,99.9,99.4,100.6,99.9,100.8,101
2013,2,100.5,100.5,99.8,101.5,100.2,99.7,100.1,100.3,100.1,101,101.1
2013,3,100.3,100.1,100.3,99.9,99.9,99.4,100.6,99.9,100.8,101.1,99.1
2013,4,100.5,99.8,101.5,100.2,99.7,100.1,100.3,100.1,101,99.1,100.2
2013,5,100.1,100.3,99.9,99.9,99.4,100.6,99.9,100.8,101.1,100.2,99.4
2013,6,99.8,101.5,100.2,99.7,100.1,100.3,100.1,101,99.1,99.4,100
2013,7,100.3,99.9,99.9,99.4,100.6,99.9,100.8,101.1,100.2,100,100.1
2013,8,101.5,100.2,99.7,100.1,100.3,100.1,101,99.1,99.4,100.1,100.5
2013,9,99.9,99.9,99.4,100.6,99.9,100.8,101.1,100.2,100,100.5,100.8
2013,10,100.2,99.7,100.1,100.3,100.1,101,99.1,99.4,100.1,100.8,100.1
2013,11,99.9,99.4,100.6,99.9,100.8,101.1,100.2,100,100.5,100.1,99.9
2013,12,99.7,100.1,100.3,100.1,101,99.1,99.4,100.1,100.8,99.9,100.3
2014,1,99.4,100.6,99.9,100.8,101.1,100.2,100,100.5,100.1,100.3,101
2014,2,100.1,100.3,100.1,101,99.1,99.4,100.1,100.8,99.9,101,100.5
2014,3,100.6,99.9,100.8,101.1,100.2,100,100.5,100.1,100.3,100.5,99.5
2014,4,100.3,100.1,101,99.1,99.4,100.1,100.8,99.9,101,99.5,99.7
2014,5,99.9,100.8,101.1,100.2,100,100.5,100.1,100.3,100.5,99.7,100.1
2014,6,100.1,101,99.1,99.4,100.1,100.8,99.9,101,99.5,100.1,99.9
2014,7,100.8,101.1,100.2,100,100.5,100.1,100.3,100.5,99.7,99.9,100.1
2014,8,101,99.1,99.4,100.1,100.8,99.9,101,99.5,100.1,100.1,100.2
2014,9,101.1,100.2,100,100.5,100.1,100.3,100.5,99.7,99.9,100.2,100.5
2014,10,99.1,99.4,100.1,100.8,99.9,101,99.5,100.1,100.1,100.5,100
2014,11,100.2,100,100.5,100.1,100.3,100.5,99.7,99.9,100.2,100,99.8
2014,12,99.4,100.1,100.8,99.9,101,99.5,100.1,100.1,100.5,99.8,100.3
2015,1,100,100.5,100.1,100.3,100.5,99.7,99.9,100.2,100,100.3,100.3
2015,2,100.1,100.8,99.9,101,99.5,100.1,100.1,100.5,99.8,100.3,101.2
2015,3,100.5,100.1,100.3,100.5,99.7,99.9,100.2,100,100.3,101.2,99.5
2015,4,100.8,99.9,101,99.5,100.1,100.1,100.5,99.8,100.3,99.5,99.8
2015,5,100.1,100.3,100.5,99.7,99.9,100.2,100,100.3,101.2,99.8,99.8
2015,6,99.9,101,99.5,100.1,100.1,100.5,99.8,100.3,99.5,99.8,100
2015,7,100.3,100.5,99.7,99.9,100.2,100,100.3,101.2,99.8,100,100.3
2015,8,101,99.5,100.1,100.1,100.5,99.8,100.3,99.5,99.8,100.3,100.5
2015,9,100.5,99.7,99.9,100.2,100,100.3,101.2,99.8,100,100.5,100.1
2015,10,99.5,100.1,100.1,100.5,99.8,100.3,99.5,99.8,100.3,100.1,99.7
2015,11,99.7,99.9,100.2,100,100.3,101.2,99.8,100,100.5,99.7,100
2015,12,100.1,100.1,100.5,99.8,100.3,99.5,99.8,100.3,100.1,100,100.5
2016,1,99.9,100.2,100,100.3,101.2,99.8,100,100.5,99.7,100.5,100.5
2016,2,100.1,100.5,99.8,100.3,99.5,99.8,100.3,100.1,100,100.5,101.6
2016,3,100.2,100,100.3,101.2,99.8,100,100.5,99.7,100.5,101.6,99.6
2016,4,100.5,99.8,100.3,99.5,99.8,100.3,100.1,100,100.5,99.6,99.8
2016,5,100,100.3,101.2,99.8,100,100.5,99.7,100.5,101.6,99.8,99.5
2016,6,99.8,100.3,99.5,99.8,100.3,100.1,100,100.5,99.6,99.5,99.9
2016,7,100.3,101.2,99.8,100,100.5,99.7,100.5,101.6,99.8,99.9,100.2
2016,8,100.3,99.5,99.8,100.3,100.1,100,100.5,99.6,99.5,100.2,100.1
2016,9,101.2,99.8,100,100.5,99.7,100.5,101.6,99.8,99.9,100.1,100.7
2016,10,99.5,99.8,100.3,100.1,100,100.5,99.6,99.5,100.2,100.7,99.9
2016,11,99.8,100,100.5,99.7,100.5,101.6,99.8,99.9,100.1,99.9,100.1
2016,12,99.8,100.3,100.1,100,100.5,99.6,99.5,100.2,100.7,100.1,100.2
2017,1,100,100.5,99.7,100.5,101.6,99.8,99.9,100.1,99.9,100.2,101
2017,2,100.3,100.1,100,100.5,99.6,99.5,100.2,100.7,100.1,101,99.8
2017,3,100.5,99.7,100.5,101.6,99.8,99.9,100.1,99.9,100.2,99.8,99.7
2017,4,100.1,100,100.5,99.6,99.5,100.2,100.7,100.1,101,99.7,100.1
2017,5,99.7,100.5,101.6,99.8,99.9,100.1,99.9,100.2,99.8,100.1,99.9
2017,6,100,100.5,99.6,99.5,100.2,100.7,100.1,101,99.7,99.9,99.8
2017,7,100.5,101.6,99.8,99.9,100.1,99.9,100.2,99.8,100.1,99.8,100.1
2017,8,100.5,99.6,99.5,100.2,100.7,100.1,101,99.7,99.9,100.1,100.4
2017,9,101.6,99.8,99.9,100.1,99.9,100.2,99.8,100.1,99.8,100.4,100.5
2017,10,99.6,99.5,100.2,100.7,100.1,101,99.7,99.9,100.1,100.5,100.1
2017,11,99.8,99.9,100.1,99.9,100.2,99.8,100.1,99.8,100.4,100.1,100
2017,12,99.5,100.2,100.7,100.1,101,99.7,99.9,100.1,100.5,100,100.3
2018,1,99.9,100.1,99.9,100.2,99.8,100.1,99.8,100.4,100.1,100.3,100.6
2018,2,100.2,100.7,100.1,101,99.7,99.9,100.1,100.5,100,100.6,101.2
2018,3,100.1,99.9,100.2,99.8,100.1,99.8,100.4,100.1,100.3,101.2,98.9
2018,4,100.7,100.1,101,99.7,99.9,100.1,100.5,100,100.6,98.9,99.8
2018,5,99.9,100.2,99.8,100.1,99.8,100.4,100.1,100.3,101.2,99.8,99.8
2018,6,100.1,101,99.7,99.9,100.1,100.5,100,100.6,98.9,99.8,99.9
2018,7,100.2,99.8,100.1,99.8,100.4,100.1,100.3,101.2,99.8,99.9,100.3
2018,8,101,99.7,99.9,100.1,100.5,100,100.6,98.9,99.8,100.3,100.7
2018,9,99.8,100.1,99.8,100.4,100.1,100.3,101.2,99.8,99.9,100.7,100.7
2018,10,99.7,99.9,100.1,100.5,100,100.6,98.9,99.8,100.3,100.7,100.2
2018,11,100.1,99.8,100.4,100.1,100.3,101.2,99.8,99.9,100.7,100.2,99.7
2018,12,99.9,100.1,100.5,100,100.6,98.9,99.8,100.3,100.7,99.7,100
2019,1,99.8,100.4,100.1,100.3,101.2,99.8,99.9,100.7,100.2,100,100.5
2019,2,100.1,100.5,100,100.6,98.9,99.8,100.3,100.7,99.7,100.5,101
2019,3,100.4,100.1,100.3,101.2,99.8,99.9,100.7,100.2,100,101,99.6
2019,4,100.5,100,100.6,98.9,99.8,100.3,100.7,99.7,100.5,99.6,100.1
2019,5,100.1,100.3,101.2,99.8,99.9,100.7,100.2,100,101,100.1,100
2019,6,100,100.6,98.9,99.8,100.3,100.7,99.7,100.5,99.6,100,99.9
2019,7,100.3,101.2,99.8,99.9,100.7,100.2,100,101,100.1,99.9,100.4
2019,8,100.6,98.9,99.8,100.3,100.7,99.7,100.5,99.6,100,100.4,100.7
2019,9,101.2,99.8,99.9,100.7,100.2,100,101,100.1,99.9,100.7,100.9
2019,10,98.9,99.8,100.3,100.7,99.7,100.5,99.6,100,100.4,100.9,100.9
2019,11,99.8,99.9,100.7,100.2,100,101,100.1,99.9,100.7,100.9,100.4
2019,12,99.8,100.3,100.7,99.7,100.5,99.6,100,100.4,100.9,100.4,100
2020,1,99.9,100.7,100.2,100,101,100.1,99.9,100.7,100.9,100,101.4
2020,2,100.3,100.7,99.7,100.5,99.6,100,100.4,100.9,100.4,101.4,100.8
2020,3,100.7,100.2,100,101,100.1,99.9,100.7,100.9,100,100.8,98.8
2020,4,100.7,99.7,100.5,99.6,100,100.4,100.9,100.4,101.4,98.8,99.1
2020,5,100.2,100,101,100.1,99.9,100.7,100.9,100,100.8,99.1,99.2
2020,6,99.7,100.5,99.6,100,100.4,100.9,100.4,101.4,98.8,99.2,99.9
2020,7,100,101,100.1,99.9,100.7,100.9,100,100.8,99.1,99.9,100.6
2020,8,100.5,99.6,100,100.4,100.9,100.4,101.4,98.8,99.2,100.6,100.4
2020,9,101,100.1,99.9,100.7,100.9,100,100.8,99.1,99.9,100.4,100.2
2020,10,99.6,100,100.4,100.9,100.4,101.4,98.8,99.2,100.6,100.2,99.7
2020,11,100.1,99.9,100.7,100.9,100,100.8,99.1,99.9,100.4,99.7,99.4
2020,12,100,100.4,100.9,100.4,101.4,98.8,99.2,100.6,100.2,99.4,100.7
2021,1,99.9,100.7,100.9,100,100.8,99.1,99.9,100.4,99.7,100.7,101
2021,2,100.4,100.9,100.4,101.4,98.8,99.2,100.6,100.2,99.4,101,100.6
2021,3,100.7,100.9,100,100.8,99.1,99.9,100.4,99.7,100.7,100.6,99.5
2021,4,100.9,100.4,101.4,98.8,99.2,100.6,100.2,99.4,101,99.5,99.7
2021,5,100.9,100,100.8,99.1,99.9,100.4,99.7,100.7,100.6,99.7,99.8
2021,6,100.4,101.4,98.8,99.2,100.6,100.2,99.4,101,99.5,99.8,99.6
2021,7,100,100.8,99.1,99.9,100.4,99.7,100.7,100.6,99.7,99.6,100.3
2021,8,101.4,98.8,99.2,100.6,100.2,99.4,101,99.5,99.8,100.3,100.1
2021,9,100.8,99.1,99.9,100.4,99.7,100.7,100.6,99.7,99.6,100.1,100
2021,10,98.8,99.2,100.6,100.2,99.4,101,99.5,99.8,100.3,100,100.7
2021,11,99.1,99.9,100.4,99.7,100.7,100.6,99.7,99.6,100.1,100.7,100.4
2021,12,99.2,100.6,100.2,99.4,101,99.5,99.8,100.3,100,100.4,99.7
2022,1,99.9,100.4,99.7,100.7,100.6,99.7,99.6,100.1,100.7,99.7,100.4
