evaluation_index,gap_months,k_references,level_weight,distance_power,max_pairs_per_bin,shape_weight,fitness,val_mae,val_rmse,validation_block_rmse_std,selected_alpha,num_train_pairs,num_train_pair_targets
85,12,9,0.081,1.462,2,0.919,0.4651994863120625,0.36344817318545874,0.4573315940558062,0.07867892256256262,100.0,116,27
207,12,9,0.082,1.856,2,0.918,0.4660517901436539,0.3650576273122583,0.45833359171338656,0.0771819843026733,100.0,116,27
311,1,3,0.04,0.5,1,0.96,0.46672129218302894,0.37197564611435074,0.46112056901923126,0.05600723163797674,100.0,92,38
192,12,10,0.109,1.903,2,0.891,0.46710379089685583,0.36355095028461526,0.4586702755409876,0.08433515355868203,100.0,116,27
326,1,5,0.096,0.543,1,0.904,0.4677337849136268,0.3673513394040119,0.46228417264822924,0.054496122653976055,100.0,92,38
171,12,10,0.11,1.902,2,0.89,0.46775476734273835,0.3642426298798843,0.4592570396546459,0.08497727688092413,100.0,116,27
222,12,10,0.115,1.902,2,0.885,0.4677656449541414,0.3631587443054558,0.45937235508097,0.08393289873171407,100.0,116,27
227,12,9,0.134,1.783,2,0.866,0.4678086197646347,0.370356160827999,0.4601080685032401,0.07700551261394616,100.0,116,27
229,12,9,0.12,1.729,2,0.88,0.46802075594284703,0.3696701537128961,0.46034680588296584,0.07673950059881197,100.0,116,27
181,12,10,0.112,1.9,2,0.888,0.4681644616801097,0.36520975913194825,0.4596970142641444,0.08467447415965355,100.0,116,27
200,12,10,0.113,1.913,2,0.887,0.46821825484814705,0.3652716835815558,0.4597569442754158,0.08461310572731258,100.0,116,27
295,1,5,0.094,0.572,1,0.906,0.46836684796048805,0.3689643981985941,0.46297291472984076,0.053939332306473124,100.0,92,38
217,12,9,0.126,1.775,2,0.874,0.4687965844835627,0.37141726214094795,0.4612849244247802,0.075116600587825,100.0,116,27
283,1,5,0.091,0.724,1,0.909,0.4690765747324599,0.37071348452285585,0.4637690656835393,0.05307509048920554,100.0,92,38
219,12,9,0.148,1.7,2,0.852,0.46946900002218683,0.36860569500558554,0.46184767373940977,0.07621326282777037,100.0,116,27
189,12,10,0.118,1.923,2,0.882,0.4696969106686005,0.36599916201890703,0.4614867985190707,0.08210112149529776,100.0,116,27
154,12,10,0.093,1.875,2,0.907,0.4697989990038256,0.3696762410056951,0.46224353590097683,0.07555463102848757,100.0,116,27
51,12,8,0.03,0.808,2,0.97,0.4702786098642629,0.3663934757835768,0.4618322856769513,0.08446324187311623,100.0,116,27
62,12,8,0.133,0.704,2,0.867,0.47126319828623403,0.372284678764089,0.4638760646219449,0.07387133664289093,100.0,116,27
341,1,3,0.021,0.5,1,0.979,0.4715403471747835,0.3772839688326731,0.4661094534551492,0.054308937196342805,100.0,92,38
308,1,8,0.025,0.777,1,0.975,0.47230200209985473,0.3569710094584511,0.4660492935375012,0.06252708562353541,100.0,92,38
257,1,9,0.024,1.301,1,0.976,0.47239000910635903,0.36050183373137623,0.46641264677220623,0.059773623341527755,100.0,92,38
309,1,3,0.01,0.5,1,0.99,0.472403477467654,0.378530257832761,0.46697021892276225,0.054332585448917115,100.0,92,38
12,12,8,0.0,0.838,2,1.0,0.47240766580917515,0.37395164489826443,0.46433375054663784,0.08073915262537286,100.0,116,27
46,12,8,0.001,0.852,2,0.999,0.4724106534797966,0.3740132730137099,0.4643369965132921,0.08073656966504517,100.0,116,27
45,12,8,0.0,0.828,2,1.0,0.4724178526710612,0.37396759209051517,0.46434176103801733,0.08076091633043843,100.0,116,27
67,12,9,0.059,1.111,2,0.9410000000000001,0.4724315577425068,0.3678782943622451,0.4637993378028191,0.0863221993968764,100.0,116,27
325,1,3,0.008,0.5,1,0.992,0.4724660152345618,0.37855355289816794,0.46703113050890066,0.05434884725661136,100.0,92,38
270,1,3,0.007,0.5,1,0.993,0.4724978290997246,0.3785652194177585,0.46706209842089,0.054357306788345786,100.0,92,38
310,1,3,0.013,0.584,1,0.987,0.4726714290237806,0.37884000125470185,0.46728039836659746,0.053910306571831844,100.0,92,38
331,1,3,0.006,0.557,1,0.994,0.4727949290406082,0.37882080108152916,0.4673847796353402,0.054101494052680305,100.0,92,38
191,12,10,0.019,1.811,2,0.981,0.47285077121617564,0.3690543754045207,0.46424107556488525,0.08609695651290408,100.0,116,27
162,12,10,0.165,1.948,2,0.835,0.4738742902536216,0.3726974699062907,0.4655057844396091,0.08368505814012471,100.0,116,27
201,12,10,0.145,1.939,2,0.855,0.47409065870372397,0.37439017250405365,0.4659608698180126,0.08129788885711374,100.0,116,27
221,12,9,0.0,1.628,2,1.0,0.47454495114415396,0.37131838979391824,0.4665068012764784,0.08038149867675522,100.0,116,27
86,12,9,0.0,1.064,2,1.0,0.47454878553070445,0.3711366357289219,0.46632956567304895,0.08219219857655505,100.0,116,27
255,12,9,0.0,0.892,2,1.0,0.4748834987100652,0.3713368096133416,0.4666163757464539,0.08267122963611268,100.0,116,27
180,12,10,0.0,1.603,2,1.0,0.4748855891420615,0.3702044214424297,0.4667171472008134,0.08168441941248088,100.0,116,27
53,12,9,0.0,0.887,2,1.0,0.47489540886045295,0.37134339272624606,0.46662694273439165,0.08268466126061307,100.0,116,27
159,12,10,0.0,1.731,2,1.0,0.4749761417726132,0.3702202885676529,0.4668527182407785,0.08123423531834688,100.0,116,27
144,12,10,0.0,1.782,2,1.0,0.47503759988116845,0.37023420770085114,0.4669325754514351,0.08105024429733393,100.0,116,27
152,12,10,0.0,1.828,2,1.0,0.4751054262585935,0.37025037779659287,0.46701720106528344,0.08088225193310031,100.0,116,27
137,12,10,0.0,1.102,2,1.0,0.4753859337978554,0.37041588265915476,0.4670603373968319,0.083255964010235,100.0,116,27
106,12,9,0.0,0.682,2,1.0,0.4754841131917287,0.3716491111856846,0.4671627890995173,0.08321324092211388,100.0,116,27
261,12,9,0.0,0.637,2,1.0,0.4756384711224809,0.3717252804724697,0.46730608009180036,0.08332391030680564,100.0,116,27
0,12,10,0.0,1.0,2,1.0,0.47564510202811555,0.37051243779607623,0.4672915034653418,0.08353598562773759,100.0,116,27
202,12,10,0.0,2.076,2,1.0,0.4756715654825254,0.3703935621927485,0.4676765974780128,0.07994968004512605,100.0,116,27
172,12,10,0.0,2.103,2,1.0,0.47575329391489657,0.37041452157526905,0.46776868549429806,0.07984608420598513,100.0,116,27
