sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,selection_method,search_distance
27,10,2015-10,2016-09,2016-10,2014-05,2015-04,2015-05,99.9,99.8,0.1,1.271056,1.271056,1.5223172671574703,0.874990018256265,1.2988709187354905,1.0869304684958778,medium,ssa_delta_stratified_gap1_max1,0.8923691351759132
27,12,2015-10,2016-09,2016-10,2014-07,2015-06,2015-07,99.9,100.3,-0.4,1.678499,1.678499,1.4628027700670028,1.1554721984343117,1.2480919837646502,1.201782091099481,small,ssa_delta_stratified_gap1_max1,1.1592696096328556
28,15,2015-11,2016-10,2016-11,2014-10,2015-09,2015-10,100.1,99.7,0.4,1.326662,1.326662,1.2107637960167934,0.9132689728854536,1.0330473929659028,0.9731581829256781,large,ssa_delta_stratified_gap1_max1,0.9181798881087521
28,1,2015-11,2016-10,2016-11,2013-08,2014-07,2014-08,100.1,100.2,-0.1,1.608876,1.608876,0.34687982028761666,1.1075439953960067,0.29596465900243435,0.7017543271992205,medium,ssa_delta_stratified_gap1_max1,1.07426924260387
28,2,2015-11,2016-10,2016-11,2013-09,2014-08,2014-09,100.1,100.5,-0.4,1.43548,1.43548,0.5655013765476803,0.9881788618333917,0.4824968542031857,0.7353378580182887,small,ssa_delta_stratified_gap1_max1,0.9674458995205532
29,15,2015-12,2016-11,2016-12,2014-10,2015-09,2015-10,100.2,99.7,0.5,1.388423,1.388423,1.3394642511201997,0.9557850056310802,1.1428571428572474,1.0493210742441637,large,ssa_delta_stratified_gap1_max1,0.963454963257353
29,3,2015-12,2016-11,2016-12,2013-10,2014-09,2014-10,100.2,100.0,0.2,1.411394,1.411394,1.1740462848227111,0.9715981528955318,1.00171929301773,0.9866587229566309,medium,ssa_delta_stratified_gap1_max1,0.9728331196405419
29,7,2015-12,2016-11,2016-12,2014-02,2015-01,2015-02,100.2,101.2,-1.0,1.67567,1.67567,2.5298026187479126,1.1535247258118255,2.158477160131072,1.6560009429714486,small,ssa_delta_stratified_gap1_max1,1.1947277756189145
30,12,2016-01,2016-12,2017-01,2014-07,2015-06,2015-07,101.0,100.3,0.7,1.463514,1.463514,1.0495281367066076,1.0074773586516248,0.895477969390889,0.9514776640212569,large,ssa_delta_stratified_gap1_max1,1.0028853836919347
30,7,2016-01,2016-12,2017-01,2014-02,2015-01,2015-02,101.0,101.2,-0.2,1.543051,1.543051,2.0149300304220024,1.0622303208201276,1.7191777799963932,1.3907040504082604,small,ssa_delta_stratified_gap1_max1,1.0891651666463544
31,10,2016-02,2017-01,2017-02,2014-05,2015-04,2015-05,99.8,99.8,0.0,1.49993,1.49993,2.365003985206568,1.0325459917447537,2.017867737133535,1.5252068644391443,medium,ssa_delta_stratified_gap1_max1,1.0729441833056936
31,17,2016-02,2017-01,2017-02,2014-12,2015-11,2015-12,99.8,100.5,-0.7,1.381909,1.381909,2.3873388873627923,0.9513007933076882,2.036924313255601,1.4941125532816446,small,ssa_delta_stratified_gap1_max1,0.9958113576255526
32,15,2016-03,2017-02,2017-03,2014-10,2015-09,2015-10,99.7,99.7,0.0,1.285182,1.285182,1.414857239054032,0.8847143018424234,1.2071839173191052,1.0459491095807643,medium,ssa_delta_stratified_gap1_max1,0.8979355560769673
32,2,2016-03,2017-02,2017-03,2013-09,2014-08,2014-09,99.7,100.5,-0.8,1.571475,1.571475,2.2598413083587814,1.0817972921250236,1.9281408808199232,1.5049690864724734,small,ssa_delta_stratified_gap1_max1,1.1164973792615145
33,20,2016-04,2017-03,2017-04,2015-03,2016-02,2016-03,100.1,99.6,0.5,1.327228,1.327228,3.7180590020240074,0.9136586050891748,3.1723207875642765,2.0429896963267256,large,ssa_delta_stratified_gap1_max1,1.0062637545706539
33,3,2016-04,2017-03,2017-04,2013-10,2014-09,2014-10,100.1,100.0,0.1,1.526158,1.526158,1.9358223202539724,1.050601245170901,1.651681531742657,1.351141388456779,medium,ssa_delta_stratified_gap1_max1,1.0752455369203429
33,2,2016-04,2017-03,2017-04,2013-09,2014-08,2014-09,100.1,100.5,-0.4,1.409792,1.409792,2.1479510622517544,0.9704953423118544,1.8326739306026785,1.4015846364572664,small,ssa_delta_stratified_gap1_max1,1.0058446644317782
34,22,2016-05,2017-04,2017-05,2015-05,2016-04,2016-05,99.9,99.5,0.4,1.279241,1.279241,2.0602248923209547,0.8806245404955901,1.757824243619934,1.319224392057762,large,ssa_delta_stratified_gap1_max1,0.9165897283236882
34,9,2016-05,2017-04,2017-05,2014-04,2015-03,2015-04,99.9,99.8,0.1,1.466542,1.466542,1.1310027530948532,1.0095618221019211,0.9649937084059385,0.9872777652539297,medium,ssa_delta_stratified_gap1_max1,1.0077345294403859
34,13,2016-05,2017-04,2017-05,2014-08,2015-07,2015-08,99.9,100.5,-0.6,1.50662,1.50662,0.8905825563824502,1.037151361785204,0.7598624860757223,0.898506923930463,small,ssa_delta_stratified_gap1_max1,1.0257825178811153
35,22,2016-06,2017-05,2017-06,2015-05,2016-04,2016-05,99.8,99.5,0.3,1.432983,1.432983,1.3480494899887145,0.9864599367226285,1.1501822368683883,1.0683210867955084,medium,ssa_delta_stratified_gap1_max1,0.9931725510286047
35,14,2016-06,2017-05,2017-06,2014-09,2015-08,2015-09,99.8,100.1,-0.3,1.529625,1.529625,1.1310027530950224,1.0529879145177234,0.9649937084060829,1.0089908114619033,small,ssa_delta_stratified_gap1_max1,1.0493801520671462
36,15,2016-07,2017-06,2017-07,2014-10,2015-09,2015-10,100.1,99.7,0.4,1.49611,1.49611,0.4854795020139973,1.0299163185676954,0.41422062300167134,0.7220684707846834,large,ssa_delta_stratified_gap1_max1,1.0046727950494885
36,11,2016-07,2017-06,2017-07,2014-06,2015-05,2015-06,100.1,100.0,0.1,1.504927,1.504927,0.16743303139013205,1.0359859071546385,0.1428571428572473,0.5894215250059429,medium,ssa_delta_stratified_gap1_max1,0.9993676278184453
36,12,2016-07,2017-06,2017-07,2014-07,2015-06,2015-07,100.1,100.3,-0.2,1.227583,1.227583,0.3037956380898005,0.8450633737467749,0.2592043906132195,0.5521338821799971,small,ssa_delta_stratified_gap1_max1,0.8210431554382991
37,4,2016-08,2017-07,2017-08,2013-11,2014-10,2014-11,100.4,99.8,0.6,1.628651,1.628651,0.5247640683533007,1.121157028662061,0.4477389846954418,0.7844480066787514,large,ssa_delta_stratified_gap1_max1,1.0935468888594295
37,2,2016-08,2017-07,2017-08,2013-09,2014-08,2014-09,100.4,100.5,-0.1,1.026203,1.026203,1.1818333755028883,0.706434163171909,1.0083633913566554,0.8573987772642822,medium,ssa_delta_stratified_gap1_max1,0.7188132615274835
37,19,2016-08,2017-07,2017-08,2015-02,2016-01,2016-02,100.4,101.6,-1.2,1.539093,1.539093,1.034414162171662,1.059505648978558,0.8825824301931988,0.9710440395858784,small,ssa_delta_stratified_gap1_max1,1.052251797008358
38,22,2016-09,2017-08,2017-09,2015-05,2016-04,2016-05,100.5,99.5,1.0,1.593784,1.593784,1.4846828912341692,1.0971547211582677,1.2667605318364377,1.1819576264973528,large,ssa_delta_stratified_gap1_max1,1.1041085593960727
38,17,2016-09,2017-08,2017-09,2014-12,2015-11,2015-12,100.5,100.5,0.0,1.500983,1.500983,0.6937596405754091,1.0332708728587439,0.5919293180050187,0.8126000954318813,medium,ssa_delta_stratified_gap1_max1,1.0151758691097412
38,26,2016-09,2017-08,2017-09,2015-09,2016-08,2016-09,100.5,100.7,-0.2,1.292385,1.292385,0.5655013765476977,0.8896728190922533,0.4824968542032006,0.6860848366477269,small,ssa_delta_stratified_gap1_max1,0.8729786045318021
39,20,2016-10,2017-09,2017-10,2015-03,2016-02,2016-03,100.1,99.6,0.5,1.216661,1.216661,2.141492731514724,0.8375447113279711,1.8271635562813204,1.3323541338046458,large,ssa_delta_stratified_gap1_max1,0.8781190839710584
39,24,2016-10,2017-09,2017-10,2015-07,2016-06,2016-07,100.1,100.2,-0.1,1.681677,1.681677,1.2375264067941052,1.1576599213025556,1.055881776834513,1.1067708490685342,medium,ssa_delta_stratified_gap1_max1,1.1534870173793659
39,17,2016-10,2017-09,2017-10,2014-12,2015-11,2015-12,100.1,100.5,-0.4,1.62796,1.62796,0.7594890952244905,1.1206813469433836,0.6480109765330395,0.8843461617382116,small,ssa_delta_stratified_gap1_max1,1.1013018617565595
40,8,2016-11,2017-10,2017-11,2014-03,2015-02,2015-03,100.0,99.5,0.5,1.375653,1.375653,1.679244014163107,0.9469941871831656,1.4327638939087788,1.1898790405459723,large,ssa_delta_stratified_gap1_max1,0.9669107451589157
40,10,2016-11,2017-10,2017-11,2014-05,2015-04,2015-05,100.0,99.8,0.2,1.47153,1.47153,0.45569345713468995,1.0129955419467291,0.38880658591982004,0.7009010639332746,medium,ssa_delta_stratified_gap1_max1,0.9874037947496258
40,7,2016-11,2017-10,2017-11,2014-02,2015-01,2015-02,100.0,101.2,-1.2,1.665831,1.665831,1.3734832615473047,1.1467515963906014,1.1718828290799574,1.1593172127352793,small,ssa_delta_stratified_gap1_max1,1.147781976930865
41,23,2016-12,2017-11,2017-12,2015-06,2016-05,2016-06,100.3,99.9,0.4,1.340873,1.340873,1.1303402964488978,0.923051770141782,0.9644284874162553,0.9437401287790186,large,ssa_delta_stratified_gap1_max1,0.9247482155500354
41,5,2016-12,2017-11,2017-12,2013-12,2014-11,2014-12,100.3,100.3,0.0,0.709308,0.709308,0.3037956380898005,0.48828487483581756,0.2592043906132195,0.3737446327245185,medium,ssa_delta_stratified_gap1_max1,0.47889257498269105
