sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,target_gap_months_actual,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,sample_weight,selection_method,search_distance
18,0,2015-01,2015-12,2016-01,2013-07,2014-06,2014-07,100.5,100.1,0.4000000000000057,1.270090943795505,18,1.270090943795505,1.4846828912337051,0.8743259612370882,1.2667605318360418,1.070543246536565,large,0.08333333333333333,all_target_gap_pairs_balanced,0.8904157786316452
18,1,2015-01,2015-12,2016-01,2013-08,2014-07,2014-08,100.5,100.2,0.29999999999999716,1.2194972974420841,17,1.2194972974420841,1.3201607246506644,0.8394974800983657,1.1263869958640802,0.9829422379812229,medium,0.0625,all_target_gap_pairs_balanced,0.8512599502447599
18,2,2015-01,2015-12,2016-01,2013-09,2014-08,2014-09,100.5,100.5,0.0,1.5110203574891254,16,1.5110203574891254,0.8100602736103399,1.0401808885924944,0.6911592967608032,0.8656700926766487,medium,0.0625,all_target_gap_pairs_balanced,1.025871003327395
18,3,2015-01,2015-12,2016-01,2013-10,2014-09,2014-10,100.5,100.0,0.5,1.619202916497499,15,1.619202916497499,0.16743303138927546,1.1146533666116065,0.14285714285651643,0.6287552547340615,large,0.08333333333333333,all_target_gap_pairs_balanced,1.074809721437648
18,4,2015-01,2015-12,2016-01,2013-11,2014-10,2014-11,100.5,99.8,0.7000000000000028,1.5734633694830165,14,1.5734633694830165,0.7594890952244905,1.0831664297073267,0.6480109765330395,0.8655887031201831,large,0.08333333333333333,all_target_gap_pairs_balanced,1.065325056127181
18,5,2015-01,2015-12,2016-01,2013-12,2014-11,2014-12,100.5,100.3,0.20000000000000284,1.1210089110638073,13,1.1210089110638073,1.0763866610562522,0.7716984350681374,0.9183941885986251,0.8450463118333813,medium,0.0625,all_target_gap_pairs_balanced,0.7777129609628874
18,6,2015-01,2015-12,2016-01,2014-01,2014-12,2015-01,100.5,100.3,0.20000000000000284,0.8605483671873885,12,0.8605483671873885,0.34687982028804903,0.5923983491163785,0.2959646590028033,0.4441815040595909,medium,0.0625,all_target_gap_pairs_balanced,0.5802445678217218
19,0,2015-02,2016-01,2016-02,2013-07,2014-06,2014-07,101.6,100.1,1.5,1.3827210452987255,19,1.3827210452987255,1.237526406793912,0.9518601112458686,1.0558817768343483,1.0038709440401083,large,0.0625,all_target_gap_pairs_balanced,0.9561249995349962
19,1,2015-02,2016-01,2016-02,2013-08,2014-07,2014-08,101.6,100.2,1.3999999999999915,1.2801803409516797,18,1.2801803409516797,1.0344141621712,0.8812714653444661,0.8825824301928046,0.8819269477686353,large,0.0625,all_target_gap_pairs_balanced,0.8813252149032479
19,2,2015-02,2016-01,2016-02,2013-09,2014-08,2014-09,101.6,100.5,1.0999999999999943,1.2346676504601,17,1.2346676504601,0.5655013765473421,0.849940695640983,0.4824968542028972,0.66621877492194,large,0.0625,all_target_gap_pairs_balanced,0.8348754981420214
