pair_id,sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,delta_bin,selection_method,similar_label
849,191,163,2015-12,2016-11,2016-12,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.030495,medium,delta_stratified_train_only,0
850,191,84,2015-12,2016-11,2016-12,2007-01,2007-12,2008-01,102.1,107.08,-4.98,1.50448,small,delta_stratified_train_only,0
851,191,118,2015-12,2016-11,2016-12,2009-11,2010-10,2010-11,102.1,105.12,-3.02,1.292549,small,delta_stratified_train_only,0
852,192,20,2016-01,2016-12,2017-01,2001-09,2002-08,2002-09,102.5,99.1,3.4,1.167022,large,delta_stratified_train_only,0
853,192,9,2016-01,2016-12,2017-01,2000-10,2001-09,2001-10,102.5,99.8,2.7,1.784219,large,delta_stratified_train_only,0
854,192,32,2016-01,2016-12,2017-01,2002-09,2003-08,2003-09,102.5,101.6,0.9,1.639892,medium,delta_stratified_train_only,0
855,192,33,2016-01,2016-12,2017-01,2002-10,2003-09,2003-10,102.5,102.0,0.5,1.434378,medium,delta_stratified_train_only,0
856,192,128,2016-01,2016-12,2017-01,2010-09,2011-08,2011-09,102.5,106.07,-3.57,1.332569,small,delta_stratified_train_only,0
857,192,121,2016-01,2016-12,2017-01,2010-02,2011-01,2011-02,102.5,104.94,-2.44,1.423241,small,delta_stratified_train_only,0
858,193,99,2016-02,2017-01,2017-02,2008-04,2009-03,2009-04,100.8,98.5,2.3,1.460163,large,delta_stratified_train_only,0
859,193,15,2016-02,2017-01,2017-02,2001-04,2002-03,2002-04,100.8,98.8,2.0,1.313739,large,delta_stratified_train_only,0
860,193,10,2016-02,2017-01,2017-02,2000-11,2001-10,2001-11,100.8,99.5,1.3,1.86369,medium,delta_stratified_train_only,0
861,193,31,2016-02,2017-01,2017-02,2002-08,2003-07,2003-08,100.8,100.9,-0.1,1.607744,medium,delta_stratified_train_only,0
862,193,107,2016-02,2017-01,2017-02,2008-12,2009-11,2009-12,100.8,101.86,-1.06,0.836445,small,delta_stratified_train_only,0
863,193,78,2016-02,2017-01,2017-02,2006-07,2007-06,2007-07,100.8,105.6,-4.8,1.329171,small,delta_stratified_train_only,0
864,194,20,2016-03,2017-02,2017-03,2001-09,2002-08,2002-09,100.9,99.1,1.8,1.312345,large,delta_stratified_train_only,0
865,194,13,2016-03,2017-02,2017-03,2001-02,2002-01,2002-02,100.9,99.2,1.7,1.407,large,delta_stratified_train_only,0
866,194,23,2016-03,2017-02,2017-03,2001-12,2002-11,2002-12,100.9,99.8,1.1,1.469421,medium,delta_stratified_train_only,0
867,194,53,2016-03,2017-02,2017-03,2004-06,2005-05,2005-06,100.9,101.6,-0.7,1.136715,medium,delta_stratified_train_only,0
868,194,75,2016-03,2017-02,2017-03,2006-04,2007-03,2007-04,100.9,103.0,-2.1,1.560109,small,delta_stratified_train_only,0
869,194,155,2016-03,2017-02,2017-03,2012-12,2013-11,2013-12,100.9,102.5,-1.6,1.375033,small,delta_stratified_train_only,0
870,195,15,2016-04,2017-03,2017-04,2001-04,2002-03,2002-04,101.2,98.8,2.4,1.209261,large,delta_stratified_train_only,0
