sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,selection_method
198,163,2016-07,2017-06,2017-07,2013-08,2014-07,2014-08,101.4,102.0,-0.6,1.28247,1.28247,2.5858087622766712,0.8662428900565148,2.13572753512787,1.5009852125921925,small,closed50_delta_stratified_train_gap1_hybrid_metadata
198,184,2016-07,2017-06,2017-07,2015-05,2016-04,2016-05,101.4,102.0,-0.6,1.613416,1.613416,1.3408890323234948,1.0897799860452266,1.1074962965795072,1.098638141312367,small,closed50_delta_stratified_train_gap1_hybrid_metadata
199,168,2016-08,2017-07,2017-08,2014-01,2014-12,2015-01,101.8,100.8,1.0,1.244708,1.244708,0.963289651168934,0.8407365904827906,0.7956211852626895,0.8181788878727401,large,closed50_delta_stratified_train_gap1_hybrid_metadata
199,172,2016-08,2017-07,2017-08,2014-05,2015-04,2015-05,101.8,101.2,0.6,1.104589,1.104589,0.23903400895228258,0.7460933726984925,0.19742817883481556,0.47176077576665404,large,closed50_delta_stratified_train_gap1_hybrid_metadata
199,176,2016-08,2017-07,2017-08,2014-09,2015-08,2015-09,101.8,101.6,0.2,1.562412,1.562412,1.091026150920357,1.055329392764727,0.9011240993760182,0.9782267460703726,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
199,173,2016-08,2017-07,2017-08,2014-06,2015-05,2015-06,101.8,101.4,0.4,1.161465,1.161465,0.3479882386260141,0.784510201641746,0.28741803105341396,0.53596411634758,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
199,181,2016-08,2017-07,2017-08,2015-02,2016-01,2016-02,101.8,102.3,-0.5,1.722697,1.722697,0.7105283499164596,1.163593712111541,0.5868550619611472,0.8752243870363441,small,closed50_delta_stratified_train_gap1_hybrid_metadata
199,185,2016-08,2017-07,2017-08,2015-06,2016-05,2016-06,101.8,101.9,-0.1,1.619281,1.619281,1.1001546144537178,1.093741493566012,0.908663678948192,1.001202586257102,small,closed50_delta_stratified_train_gap1_hybrid_metadata
200,168,2016-09,2017-08,2017-09,2014-01,2014-12,2015-01,101.6,100.8,0.8,1.280054,1.280054,0.976635373691399,0.8646110056285153,0.8066439753016209,0.8356274904650681,large,closed50_delta_stratified_train_gap1_hybrid_metadata
200,187,2016-09,2017-08,2017-09,2015-08,2016-07,2016-08,101.6,101.3,0.3,1.852709,1.852709,0.5176246619416657,1.2514101683421175,0.4275278433184403,0.839469005830279,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
200,170,2016-09,2017-08,2017-09,2014-03,2015-02,2015-03,101.6,101.4,0.2,0.968065,0.968065,0.7462902014448244,0.6538783935394668,0.6163922698670546,0.6351353317032606,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
200,185,2016-09,2017-08,2017-09,2015-06,2016-05,2016-06,101.6,101.9,-0.3,1.544466,1.544466,0.49386181174835814,1.0432077876550914,0.4079011121342355,0.7255544498946634,small,closed50_delta_stratified_train_gap1_hybrid_metadata
200,181,2016-09,2017-08,2017-09,2015-02,2016-01,2016-02,101.6,102.3,-0.7,1.776299,1.776299,0.36665080220873497,1.1997991215112223,0.3028322223506074,0.7513156719309149,small,closed50_delta_stratified_train_gap1_hybrid_metadata
