evaluation_index,gap_months,k_references,level_weight,distance_power,max_pairs_per_bin,shape_weight,fitness,val_mae,val_rmse,validation_block_rmse_std,selected_alpha,num_train_pairs,num_train_pair_targets
334,12,10,0.006,0.505,2,0.994,0.7099247459283461,0.514717455769672,0.6939998995350697,0.15924846393276415,1.0,118,27
317,12,10,0.006,0.549,2,0.994,0.7101257115892512,0.5148712956353421,0.6942045424395045,0.15921169149746683,1.0,118,27
288,12,10,0.007,0.55,2,0.993,0.7101409710875172,0.5148887507275798,0.6942205446198163,0.15920426467700824,1.0,118,27
285,12,10,0.0,0.509,2,1.0,0.7101510231972549,0.5144503473484794,0.6941759256860972,0.1597509751115768,1.0,118,27
312,12,10,0.0,0.527,2,1.0,0.7102284896444208,0.5145097764457208,0.6942548488399669,0.15973640804453837,1.0,118,27
306,12,10,0.0,0.529,2,1.0,0.7102371620165915,0.514516415078147,0.694263684330687,0.15973477685904555,1.0,118,27
304,12,10,0.0,0.543,2,1.0,0.7102982341170534,0.5145630839322473,0.6943259055052545,0.15972328611798894,1.0,118,27
295,12,10,0.001,0.545,2,0.999,0.7103173893905406,0.5145831286879854,0.6943459570114163,0.15971432379124248,1.0,118,27
281,12,10,0.0,0.557,2,1.0,0.7103599482360512,0.5146101003065587,0.6943887816484334,0.15971166587617733,1.0,118,27
319,12,10,0.0,0.57,2,1.0,0.7104178320101995,0.5146540698507913,0.6944477563757057,0.15970075634493838,1.0,118,27
293,12,9,0.006,0.5,2,0.994,0.7104725451077415,0.5133770006531374,0.6945661130136914,0.15906432094050071,1.0,118,27
328,12,9,0.006,0.534,2,0.994,0.7106396659353599,0.5134828962166097,0.6947348480889286,0.15904817846431232,1.0,118,27
313,12,9,0.006,0.535,2,0.994,0.7106446383976357,0.5134860393908715,0.6947398697193842,0.1590476867825148,1.0,118,27
274,12,10,0.0,0.645,2,1.0,0.7107627787716265,0.5149136086399254,0.6947992372772305,0.15963541494396027,1.0,118,27
26,12,9,0.0,0.5,2,1.0,0.7107950642944239,0.5144925122452081,0.6948652054164821,0.15929858877941738,1.0,118,27
43,12,9,0.0,0.616,2,1.0,0.7113579216307336,0.5148170557915661,0.6954331070430588,0.15924814587674846,1.0,118,27
280,12,10,0.0,0.776,2,1.0,0.711411466157551,0.5153909732969617,0.6954604611160157,0.15951005041535402,1.0,118,27
182,12,9,0.0,0.634,2,1.0,0.7114494120385881,0.5148694357716916,0.6955254997768112,0.15923912261776957,1.0,118,27
193,12,9,0.0,0.658,2,1.0,0.7115731621237305,0.5149401189195821,0.6956505068377372,0.15922655285993223,1.0,118,27
105,12,10,0.0,0.837,2,1.0,0.7117341934808474,0.5156280452918348,0.695789589462846,0.15944604018001507,1.0,118,27
85,12,10,0.0,0.875,2,1.0,0.7119420442058542,0.5157889894394407,0.6960016297969509,0.15940414408903306,1.0,118,27
204,12,8,0.044,0.792,2,0.956,0.7123443922210346,0.5175387015569713,0.6967387724863606,0.15605619734673992,1.0,118,27
96,12,9,0.0,0.828,2,1.0,0.7125086140445865,0.5154682374596118,0.6965967960718811,0.15911817972705428,1.0,118,27
144,12,10,0.0,0.983,2,1.0,0.7125619266396293,0.5162609228238088,0.6966343455693159,0.1592758107031331,1.0,118,27
324,12,12,0.007,0.556,2,0.993,0.7125659920534921,0.5165449221051008,0.6961356036418102,0.16430388411681993,1.0,118,27
53,12,9,0.0,0.842,2,1.0,0.712590341366497,0.5155138568987664,0.6966795799301759,0.15910761436321064,1.0,118,27
46,12,9,0.0,0.845,2,1.0,0.7126079487828336,0.5155236742201534,0.6966974172239114,0.15910531558922217,1.0,118,27
0,12,10,0.0,1.0,2,1.0,0.7126634923994579,0.5163371469757101,0.6967380644573964,0.1592542794206149,1.0,118,27
272,12,10,0.0,1.005,2,1.0,0.712693573855575,0.5163596653239478,0.6967687864107962,0.15924787444778749,1.0,118,27
168,12,10,0.0,1.013,2,1.0,0.7127419024911312,0.5163957885235059,0.6968181467444097,0.1592375574672153,1.0,118,27
271,12,10,0.0,1.021,2,1.0,0.7127904756581499,0.5164320270333014,0.6968677601666275,0.15922715491522352,1.0,118,27
247,12,9,0.0,0.892,2,1.0,0.7128881726849129,0.5156793937450089,0.6969814062774715,0.15906766407441422,1.0,118,27
265,12,10,0.0,1.05,2,1.0,0.7129686114756639,0.5165643547376084,0.6970497397455313,0.15918871730132617,1.0,118,27
211,12,8,0.047,0.789,2,0.953,0.7129971533583498,0.5179942546515447,0.6973414080588272,0.15655745299522578,1.0,118,27
222,12,8,0.044,0.878,2,0.956,0.7130108836822631,0.5179353801202088,0.6974168023982965,0.15594081283966582,1.0,118,27
255,12,9,0.0,0.917,2,1.0,0.7130405994488153,0.5157636822381344,0.6971359643389099,0.15904635109905377,1.0,118,27
142,12,10,0.0,1.095,2,1.0,0.7132514618612744,0.5167726584525026,0.6973387867823246,0.15912675078949817,1.0,118,27
175,12,10,0.019,0.964,2,0.981,0.7133963363737829,0.5166109439203826,0.6973342679106308,0.1606206846315209,1.0,118,27
135,12,10,0.048,1.048,2,0.952,0.7164401090832626,0.5190859684905954,0.6996850102355482,0.16755098847714453,1.0,118,27
270,12,11,0.0,0.5,2,1.0,0.71851937132356,0.520996675711775,0.7025541179112703,0.15965253412289707,1.0,118,27
261,12,13,0.0,1.17,2,1.0,0.7194214575591524,0.522862567821037,0.7029676473676152,0.1645381019153724,1.0,118,27
