sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,selection_method
201,163,2016-10,2017-09,2017-10,2013-08,2014-07,2014-08,101.9,102.0,-0.1,0.887535,0.887535,2.543504616136102,0.6401721580452401,2.1782672433629613,1.4092197007041007,small,closed50_delta_stratified_gap12_hybrid_ablation
201,175,2016-10,2017-09,2017-10,2014-08,2015-07,2015-08,101.9,102.0,-0.1,0.966457,0.966457,0.49605696769407787,0.6970979886403675,0.4248251159895473,0.5609615523149574,small,closed50_delta_stratified_gap12_hybrid_ablation
202,172,2016-11,2017-10,2017-11,2014-05,2015-04,2015-05,101.7,101.2,0.5,1.009529,1.009529,0.6838401137857357,0.7281654904192546,0.585643332474047,0.6569044114466508,large,closed50_delta_stratified_gap12_hybrid_ablation
202,168,2016-11,2017-10,2017-11,2014-01,2014-12,2015-01,101.7,100.8,0.9,1.345251,1.345251,1.1569040564523294,0.9703191826604216,0.9907771324245148,0.9805481575424682,large,closed50_delta_stratified_gap12_hybrid_ablation
202,167,2016-11,2017-10,2017-11,2013-12,2014-11,2014-12,101.7,101.5,0.2,1.451467,1.451467,1.4284919140693038,1.046931965186106,1.2233660297235804,1.1351489974548432,medium,closed50_delta_stratified_gap12_hybrid_ablation
202,164,2016-11,2017-10,2017-11,2013-09,2014-08,2014-09,101.7,101.6,0.1,0.984057,0.984057,2.18460963872703,0.7097927330522457,1.8709081891909758,1.2903504611216108,medium,closed50_delta_stratified_gap12_hybrid_ablation
202,163,2016-11,2017-10,2017-11,2013-08,2014-07,2014-08,101.7,102.0,-0.3,1.180007,1.180007,2.4007385906177308,0.8511299584788089,2.0560018639809456,1.4535659112298773,small,closed50_delta_stratified_gap12_hybrid_ablation
202,162,2016-11,2017-10,2017-11,2013-07,2014-06,2014-07,101.7,102.3,-0.6,1.506827,1.506827,2.4837813993864253,1.0868627066998315,2.1271200483121757,1.6069913775060036,small,closed50_delta_stratified_gap12_hybrid_ablation
203,177,2016-12,2017-11,2017-12,2014-10,2015-09,2015-10,101.8,101.3,0.5,1.038677,1.038677,0.3633578023051964,0.7491897182668356,0.3111810347661707,0.5301853765165031,large,closed50_delta_stratified_gap12_hybrid_ablation
203,168,2016-12,2017-11,2017-12,2014-01,2014-12,2015-01,101.8,100.8,1.0,1.571176,1.571176,1.127998344961051,1.1332771446634646,0.9660221687070898,1.0496496566852773,large,closed50_delta_stratified_gap12_hybrid_ablation
203,176,2016-12,2017-11,2017-12,2014-09,2015-08,2015-09,101.8,101.6,0.2,1.137545,1.137545,0.5924206691045261,0.8205024450005607,0.5073513645758233,0.6639269047881919,medium,closed50_delta_stratified_gap12_hybrid_ablation
203,164,2016-12,2017-11,2017-12,2013-09,2014-08,2014-09,101.8,101.6,0.2,1.216636,1.216636,2.3605039913926804,0.877550173993734,2.0215447967573357,1.4495474853755348,medium,closed50_delta_stratified_gap12_hybrid_ablation
203,175,2016-12,2017-11,2017-12,2014-08,2015-07,2015-08,101.8,102.0,-0.2,1.211951,1.211951,0.3633578023051636,0.8741709195863676,0.3111810347661426,0.5926759771762551,small,closed50_delta_stratified_gap12_hybrid_ablation
203,162,2016-12,2017-11,2017-12,2013-07,2014-06,2014-07,101.8,102.3,-0.5,1.679689,1.679689,2.7116138639098057,1.2115467355933582,2.322236656828438,1.766891696210898,small,closed50_delta_stratified_gap12_hybrid_ablation
204,168,2017-01,2017-12,2018-01,2014-01,2014-12,2015-01,101.5,100.8,0.7,1.473502,1.473502,1.2461740382575806,1.0628256409313181,1.0672282919578462,1.0650269664445822,large,closed50_delta_stratified_gap12_hybrid_ablation
204,169,2017-01,2017-12,2018-01,2014-02,2015-01,2015-02,101.5,101.4,0.1,1.691193,1.691193,1.827435734175332,1.2198444821680314,1.5650230685062247,1.392433775337128,medium,closed50_delta_stratified_gap12_hybrid_ablation
